Year,CO2(ppmv),CH4,temp,Irish Anomaly,Global Anomaly
-15958,190.66,377.2381364,-63.909999999999975,,
-15973,189.6,371.3,-63.989999999999974,,
-15985,188.54,371.5,-64.06999999999998,,
-15987,188.6,371.7,-64.14999999999998,,
-16015,188.66,371.90000000000003,-64.14999999999998,,
-16031,188.81,372.1,-64.14999999999998,,
-16042,188.96,372.3,-64.14999999999998,,
-16074,187.79,372.5,-64.14999999999998,,
-16078,187.76,372.7,-64.14999999999998,,
-16100,187.73,372.90000000000003,-64.24999999999997,,
-16125,188.185,373.1,-64.34999999999997,,
-16131,188.64,373.3,-63.816666666666634,,
-16160,188.59,373.5,-63.2833333333333,,
-16171,186.735,373.7,-62.74999999999997,,
-16189,184.88,373.90000000000003,-63.14999999999998,,
-16215,186.945,374.1,-63.54999999999998,,
-16223,189.01,374.3,-63.81666666666664,,
-16251,185.65,374.5,-64.0833333333333,,
-16258,187.265,374.7,-64.34999999999997,,
-16282,188.88,374.90000000000003,-63.949999999999974,,
-16302,188.76,375.1,-63.54999999999998,,
-16306,188.64000000000001,375.3,-63.524999999999984,,
-16314,188.52,374.98571428571427,-63.499999999999986,,
-16345,189.03,374.6714285714286,-63.47499999999999,,
-16346,188.075,374.3571428571429,-63.44999999999999,,
-16374,187.12,374.04285714285714,-63.79999999999998,,
-16391,187.925,373.7285714285714,-64.14999999999998,,
-16410,188.73,373.4142857142857,-64.29999999999998,,
-16435,188.47,373.1,-64.44999999999999,,
-16441,188.21,372.7857142857143,-64.38333333333331,,
-16472,188.47,372.47142857142853,-64.31666666666665,,
-16481,187.95999999999998,372.15714285714284,-64.24999999999997,,
-16507,187.45,371.84285714285716,-64.04999999999997,,
-16527,187.26999999999998,371.5285714285714,-63.849999999999966,,
-16536,187.09,371.21428571428567,-63.849999999999966,,
-16540,187.235,370.9,-63.849999999999966,,
-16558,187.38,378.336,-63.849999999999966,,
-16568,187.52499999999998,371.0,-63.849999999999966,,
-16569,187.67,371.10886535,-63.849999999999966,,
-16572,187.97,371.2177307,-63.849999999999966,,
-16616,188.26999999999998,371.32659605,-63.54999999999998,,
-16632,188.57,371.4354614,-63.699999999999974,,
-16659,190.34666666666666,371.54432675,-63.849999999999966,,
-16703,192.12333333333333,371.6531921,-64.04999999999998,,
-16727,193.9,371.76205745,-64.04999999999998,,
-16748,193.02333333333334,371.8709228,-64.04999999999998,,
-16792,192.14666666666668,371.97978815,-63.94999999999999,,
-16797,191.27,372.08865349999996,-64.04999999999998,,
-16837,192.12,372.19751885,-64.14999999999998,,
-16853,192.97,372.30638419999997,-64.09999999999998,,
-16882,190.70499999999998,372.41524955,-64.04999999999998,,
-16885,188.44,372.5241149,-64.27499999999998,,
-16916,188.5,372.63298025,-64.49999999999999,,
-16923,189.20166666666665,372.7418456,-64.725,,
-16928,189.90333333333334,375.7209228,-64.94999999999999,,
-16940,190.60500000000002,378.7,-64.14999999999998,,
-16974,191.30666666666667,377.77142857142854,-63.349999999999966,,
-17016,192.00833333333333,376.84285714285716,-63.849999999999966,,
-17043,192.71,375.9142857142857,-63.49999999999997,,
-17058,192.386,374.98571428571427,-63.14999999999998,,
-17101,192.062,374.0571428571428,-64.54999999999998,,
-17145,191.738,373.12857142857143,-63.849999999999966,,
-17189,191.41400000000002,372.2,-64.24999999999997,,
-17202,191.09,371.27142857142854,-64.09999999999998,,
-17234,191.2125,370.34285714285716,-63.94999999999999,,
-17277,191.335,369.4142857142857,-63.64999999999998,,
-17321,191.4575,368.48571428571427,-64.34999999999997,,
-17332,191.58,367.5571428571428,-63.89999999999998,,
-17364,191.568,366.62857142857143,-63.44999999999999,,
-17366,191.556,365.7,-64.09999999999998,,
-17408,191.544,364.17652594,-64.74999999999997,,
-17452,191.532,362.65305187999996,-63.94999999999999,,
-17492,191.52,361.12957782,-63.499999999999986,,
-17496,191.09166666666667,359.60610376,-63.04999999999998,,
-17500,190.66333333333333,358.0826297,-63.71666666666665,,
-17529,190.235,377.0,-64.38333333333331,,
-17540,189.80666666666667,374.4125,-65.04999999999998,,
-17585,189.37833333333333,371.825,-64.54999999999998,,
-17618,188.95,369.2375,-63.84999999999998,,
-17629,189.7733333333333,366.65,-63.14999999999998,,
-17672,190.59666666666666,364.0625,-64.14999999999998,,
-17679,191.42,361.475,-64.04999999999998,,
-17714,191.73142857142855,358.8875,-63.94999999999999,,
-17730,192.04285714285714,356.3,-63.44999999999999,,
-17742,192.3542857142857,351.3,-62.94999999999999,,
-17757,192.66571428571427,353.54419869000003,-62.44999999999999,,
-17798,192.97714285714284,355.78839738,-64.14999999999998,,
-17839,193.28857142857143,358.03259607,-63.54999999999998,,
-17841,193.6,360.27679476,-64.04999999999998,,
-17880,194.42,362.52099345,-64.54999999999998,,
-17924,195.24,364.76519214,-63.74999999999997,,
-17933,196.06,367.00939083,-64.04999999999997,,
-17967,195.592,369.25358952,-64.34999999999997,,
-18011,195.124,371.49778820999995,-64.24999999999997,,
-18013,194.656,373.7419869,-64.54999999999997,,
-18055,194.188,374.05358952,-64.84999999999997,,
-18068,193.72,374.36519214,-64.44999999999997,,
-18099,193.17833333333334,374.67679476,-64.04999999999998,,
-18144,192.63666666666666,374.98839738,-64.84999999999997,,
-18174,192.095,375.3,-64.69999999999997,,
